LocationID,zone,borough,latitude,longitude
1,Newark Airport,EWR,40.69183120640153,-74.17400027276302
2,Jamaica Bay,Queens,40.61674529165981,-73.83129854302207
3,Allerton/Pelham Gardens,Bronx,40.864473684775454,-73.84742223236715
4,Alphabet City,Manhattan,40.7237521415848,-73.97696825691764
5,Arden Heights,Staten Island,40.55265928694563,-74.18848410184924
6,Arrochar/Fort Wadsworth,Staten Island,40.60032414603461,-74.0717705589513
7,Astoria,Queens,40.76149256216373,-73.9196943194606
8,Astoria Park,Queens,40.77855865375072,-73.92308615750753
9,Auburndale,Queens,40.75103502557229,-73.7879488777789
10,Baisley Park,Queens,40.67895331011525,-73.79098635986959
11,Bath Beach,Brooklyn,40.60427284003077,-74.00748815801177
12,Battery Park,Manhattan,40.7029458349847,-74.01556351255898
13,Battery Park City,Manhattan,40.71203815707448,-74.01607915192925
14,Bay Ridge,Brooklyn,40.62483492360819,-74.0298923741879
15,Bay Terrace/Fort Totten,Queens,40.78333304726096,-73.78597227877705
16,Bayside,Queens,40.76273837544242,-73.77342181890134
17,Bedford,Brooklyn,40.691507494880646,-73.94990503507506
18,Bedford Park,Bronx,40.86768245607541,-73.89018328872034
19,Bellerose,Queens,40.73548677976338,-73.72665537528711
20,Belmont,Bronx,40.857779675441584,-73.88586748106962
21,Bensonhurst East,Brooklyn,40.601429439835165,-73.98353709672233
22,Bensonhurst West,Brooklyn,40.612218257805615,-73.99525857986231
23,Bloomfield/Emerson Hill,Staten Island,40.60644770102759,-74.1708868815526
24,Bloomingdale,Manhattan,40.80197049389964,-73.96547951516969
25,Boerum Hill,Brooklyn,40.68563374132064,-73.98611382213666
26,Borough Park,Brooklyn,40.63094965524548,-73.98866123078287
27,Breezy Point/Fort Tilden/Riis Beach,Queens,40.55913327946765,-73.90690832237595
28,Briarwood/Jamaica Hills,Queens,40.71159635794509,-73.80872901637518
29,Brighton Beach,Brooklyn,40.58092197193381,-73.96121676866852
30,Broad Channel,Queens,40.60368744213567,-73.82192695679413
31,Bronx Park,Bronx,40.85774668091589,-73.87547595053037
32,Bronxdale,Bronx,40.86400220602363,-73.8649009987672
33,Brooklyn Heights,Brooklyn,40.69579822121126,-73.99525011996623
34,Brooklyn Navy Yard,Brooklyn,40.70085573851715,-73.97118869233036
35,Brownsville,Brooklyn,40.66400311792599,-73.91025783136135
36,Bushwick North,Brooklyn,40.70052219951919,-73.91771053131578
37,Bushwick South,Brooklyn,40.694994318442106,-73.92224002165723
38,Cambria Heights,Queens,40.6943414672317,-73.73555427058822
39,Canarsie,Brooklyn,40.63803713911706,-73.8997349566939
40,Carroll Gardens,Brooklyn,40.6791990140971,-73.99595619089148
41,Central Harlem,Manhattan,40.80433394979461,-73.95129200243511
42,Central Harlem North,Manhattan,40.81825786111924,-73.94077166756264
43,Central Park,Manhattan,40.78247809974789,-73.96555356545916
44,Charleston/Tottenville,Staten Island,40.525494581763816,-74.23353354937652
45,Chinatown,Manhattan,40.71245931177949,-73.99815149899047
46,City Island,Bronx,40.84908594313967,-73.78198714613217
47,Claremont/Bathgate,Bronx,40.84274917609803,-73.90031590586486
48,Clinton East,Manhattan,40.762252755319366,-73.98984464313301
49,Clinton Hill,Brooklyn,40.687967457147465,-73.9623635381836
50,Clinton West,Manhattan,40.76623772504186,-73.99513522075517
51,Co-Op City,Bronx,40.87397305492024,-73.82826367307186
52,Cobble Hill,Brooklyn,40.68665124165606,-73.99672403175194
53,College Point,Queens,40.78091235579126,-73.84281349543204
54,Columbia Street,Brooklyn,40.68720074733727,-74.00291127745284
55,Coney Island,Brooklyn,40.57696075363783,-73.98794343407195
56,Corona,Queens,40.74140677482976,-73.85884524943998
57,Corona,Queens,40.751819366999456,-73.85358156034266
58,Country Club,Bronx,40.84145210068253,-73.82039319252785
59,Crotona Park,Bronx,40.83855028852789,-73.89498588493974
60,Crotona Park East,Bronx,40.83399047727385,-73.88590003419152
